GeneFusion	known	n	std1	std2	run	config	barcode	log_n	std_avg	log_std_avg	Identifier	isTrue
RUNX1::RUNX1T1	True	8	51561	288357	Run1	fast	barcode16	0.9542425094393249	169959.0	5.230346722417477	RUNX1::RUNX1T1_barcode16	False
ABL1::NUP214	True	4	13487	23243	Run1	fast	barcode16	0.6989700043360189	18365.0	4.264014579980978	ABL1::NUP214_barcode16	False
CREBBP::KAT6A	True	2	3521	21464	Run1	fast	barcode16	0.47712125471966244	12492.5	4.096684121140489	CREBBP::KAT6A_barcode16	False
ETV6::RUNX1	True	6	63353	327943	Run1	hac	barcode09	0.8450980400142568	195648.0	5.29147763247901	ETV6::RUNX1_barcode09	False
ETV6::RUNX1	True	7	54820	413968	Run1	hac	barcode10	0.9030899869919435	234394.0	5.369948343286455	ETV6::RUNX1_barcode10	False
PML::RARA	True	263	1322	1194	Run1	hac	barcode11	2.4216039268698313	1258.0	3.1000257301078626	PML::RARA_barcode11	True
ETV6::RUNX1	True	13	64605	304493	Run1	hac	barcode11	1.146128035678238	184549.0	5.266114049531676	ETV6::RUNX1_barcode11	False
RUNX1::RUNX1T1	True	7	44322	315529	Run1	hac	barcode11	0.9030899869919435	179925.5	5.255095131973716	RUNX1::RUNX1T1_barcode11	False
RUNX1::RUNX1T1	True	203	9820	58737	Run1	hac	barcode12	2.3096301674258988	34278.5	4.535034478688016	RUNX1::RUNX1T1_barcode12	True
ETV6::RUNX1	True	5	59763	215480	Run1	hac	barcode12	0.7781512503836436	137621.5	5.138689442816747	ETV6::RUNX1_barcode12	False
KMT2A::MLLT3	True	2	126944	7557	Run1	hac	barcode12	0.47712125471966244	67250.5	4.827701975432182	KMT2A::MLLT3_barcode12	False
ETV6::RUNX1	True	8	73468	207647	Run1	hac	barcode13	0.9542425094393249	140557.5	5.147857113845813	ETV6::RUNX1_barcode13	False
RUNX1::RUNX1T1	True	8	40399	362466	Run1	hac	barcode13	0.9542425094393249	201432.5	5.304131698865467	RUNX1::RUNX1T1_barcode13	False
ETV6::RUNX1	True	8	61381	369501	Run1	hac	barcode14	0.9542425094393249	215441.0	5.333330372082493	ETV6::RUNX1_barcode14	False
RUNX1::RUNX1T1	True	5	55885	327924	Run1	hac	barcode14	0.7781512503836436	191904.5	5.28308742176737	RUNX1::RUNX1T1_barcode14	False
ABL1::NUP214	True	2	4371	10048	Run1	hac	barcode14	0.47712125471966244	7209.5	3.857965381184328	ABL1::NUP214_barcode14	False
KMT2A::MLLT10	True	2	58885	14019	Run1	hac	barcode14	0.47712125471966244	36452.0	4.561733275584914	KMT2A::MLLT10_barcode14	False
PML::RARA	True	265	1021	1229	Run1	hac	barcode15	2.424881636631067	1125.0	3.0515383905153275	PML::RARA_barcode15	True
ETV6::RUNX1	True	9	59771	339706	Run1	hac	barcode15	1.0	199738.5	5.300463958389451	ETV6::RUNX1_barcode15	False
